kind,index,major_r_m,z_m,psi_norm,description
lcfs,1,1.1947883730093203,-0.01385131578947374,1.0,exported separatrix contour
lcfs,2,1.1966872542414007,-0.041553947368420996,1.0,exported separatrix contour
lcfs,3,1.2005885610330553,-0.06925657894736825,1.0,exported separatrix contour
lcfs,4,1.2057394366197185,-0.09328911932395928,1.0,exported separatrix contour
lcfs,5,1.2064199019374842,-0.09695921052631573,1.0,exported separatrix contour
lcfs,6,1.213314471334804,-0.12466184210526321,1.0,exported separatrix contour
lcfs,7,1.2220944142734376,-0.15236447368421047,1.0,exported separatrix contour
lcfs,8,1.2283450704225354,-0.16860291702473343,1.0,exported separatrix contour
lcfs,9,1.232277430539769,-0.18006710526315772,1.0,exported separatrix contour
lcfs,10,1.2434975181393968,-0.2077697368421052,1.0,exported separatrix contour
lcfs,11,1.2509507042253523,-0.22362806280254544,1.0,exported separatrix contour
lcfs,12,1.256023777704966,-0.23547236842105268,1.0,exported separatrix contour
lcfs,13,1.269574771866563,-0.26317499999999994,1.0,exported separatrix contour
lcfs,14,1.2735563380281691,-0.2704498994503223,1.0,exported separatrix contour
lcfs,15,1.2839579310487823,-0.2908776315789472,1.0,exported separatrix contour
lcfs,16,1.296161971830986,-0.31226846331016805,1.0,exported separatrix contour
lcfs,17,1.2995599686962902,-0.31858026315789467,1.0,exported separatrix contour
lcfs,18,1.3159698831102524,-0.34628289473684204,1.0,exported separatrix contour
lcfs,19,1.318767605633803,-0.3506356136194724,1.0,exported separatrix contour
lcfs,20,1.3331739839829426,-0.3739855263157894,1.0,exported separatrix contour
lcfs,21,1.3413732394366198,-0.3862199663187312,1.0,exported separatrix contour
lcfs,22,1.3514461242807427,-0.4016881578947368,1.0,exported separatrix contour
lcfs,23,1.3639788732394367,-0.41956653399070276,1.0,exported separatrix contour
lcfs,24,1.3707455790684815,-0.42939078947368414,1.0,exported separatrix contour
lcfs,25,1.3865845070422536,-0.45093677258706444,1.0,exported separatrix contour
lcfs,26,1.3910788625782093,-0.4570934210526315,1.0,exported separatrix contour
lcfs,27,1.4091901408450704,-0.48053450445187057,1.0,exported separatrix contour
lcfs,28,1.4124934970886418,-0.4847960526315789,1.0,exported separatrix contour
lcfs,29,1.4317957746478873,-0.5085187451989946,1.0,exported separatrix contour
lcfs,30,1.435077451735454,-0.5124986842105262,1.0,exported separatrix contour
lcfs,31,1.4544014084507042,-0.5350099765220807,1.0,exported separatrix contour
lcfs,32,1.4589623735515138,-0.5402013157894736,1.0,exported separatrix contour
lcfs,33,1.477007042253521,-0.5600936926417238,1.0,exported separatrix contour
lcfs,34,1.484330191424905,-0.567903947368421,1.0,exported separatrix contour
lcfs,35,1.499612676056338,-0.5838222409623106,1.0,exported separatrix contour
lcfs,36,1.5114231547124397,-0.5956065789473683,1.0,exported separatrix contour
lcfs,37,1.522218309859155,-0.6062153640231519,1.0,exported separatrix contour
lcfs,38,1.5405574514894553,-0.6233092105263157,1.0,exported separatrix contour
lcfs,39,1.544823943661972,-0.6272596879405413,1.0,exported separatrix contour
lcfs,40,1.5674295774647888,-0.6471674697607351,1.0,exported separatrix contour
lcfs,41,1.5720528429497609,-0.6510118421052631,1.0,exported separatrix contour
lcfs,42,1.5900352112676057,-0.6660217702838028,1.0,exported separatrix contour
lcfs,43,1.606508586433276,-0.6787144736842105,1.0,exported separatrix contour
lcfs,44,1.6126408450704226,-0.6835003226076163,1.0,exported separatrix contour
lcfs,45,1.6352464788732395,-0.6999949119018283,1.0,exported separatrix contour
