kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,-6.5521162699e-01,1.1947883730e+00,-1.3851315789e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.5331274576e-01,1.1966872542e+00,-4.1553947368e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4941143897e-01,1.2005885610e+00,-6.9256578947e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4426056338e-01,1.2057394366e+00,-9.3289119324e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.4358009806e-01,1.2064199019e+00,-9.6959210526e-02,1.0000000000e+00,2.1287019677e-01
lcfs,-6.3668552867e-01,1.2133144713e+00,-1.2466184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.2790558573e-01,1.2220944143e+00,-1.5236447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.2165492958e-01,1.2283450704e+00,-1.6860291702e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.1772256946e-01,1.2322774305e+00,-1.8006710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-6.0650248186e-01,1.2434975181e+00,-2.0776973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.9904929577e-01,1.2509507042e+00,-2.2362806280e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.9397622230e-01,1.2560237777e+00,-2.3547236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.8042522813e-01,1.2695747719e+00,-2.6317500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.7644366197e-01,1.2735563380e+00,-2.7044989945e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.6604206895e-01,1.2839579310e+00,-2.9087763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.5383802817e-01,1.2961619718e+00,-3.1226846331e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.5044003130e-01,1.2995599687e+00,-3.1858026316e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.3403011689e-01,1.3159698831e+00,-3.4628289474e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.3123239437e-01,1.3187676056e+00,-3.5063561362e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.1682601602e-01,1.3331739840e+00,-3.7398552632e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.0862676056e-01,1.3413732394e+00,-3.8621996632e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.9855387572e-01,1.3514461243e+00,-4.0168815789e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.8602112676e-01,1.3639788732e+00,-4.1956653399e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.7925442093e-01,1.3707455791e+00,-4.2939078947e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.6341549296e-01,1.3865845070e+00,-4.5093677259e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.5892113742e-01,1.3910788626e+00,-4.5709342105e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.4080985915e-01,1.4091901408e+00,-4.8053450445e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.3750650291e-01,1.4124934971e+00,-4.8479605263e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.1820422535e-01,1.4317957746e+00,-5.0851874520e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.1492254826e-01,1.4350774517e+00,-5.1249868421e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.9559859155e-01,1.4544014085e+00,-5.3500997652e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.9103762645e-01,1.4589623736e+00,-5.4020131579e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.7299295775e-01,1.4770070423e+00,-5.6009369264e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.6566980858e-01,1.4843301914e+00,-5.6790394737e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.5038732394e-01,1.4996126761e+00,-5.8382224096e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.3857684529e-01,1.5114231547e+00,-5.9560657895e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.2778169014e-01,1.5222183099e+00,-6.0621536402e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.0944254851e-01,1.5405574515e+00,-6.2330921053e-01,1.0000000000e+00,2.1287019677e-01
