r_m,z_m,major_r_m,psi_norm,psi_wb,br_t,bz_t,bphi_t,b_total_t,density_1e19_m3,pressure_pa,temperature_kev,j_phi_a_m2,inside_closed_surface
-8.0250000000e-01,-1.3158750000e+00,1.0475000000e+00,1.0769467810e+00,2.2924987319e-01,-1.5789530000e-01,2.3804895353e-02,5.2983293556e+00,5.3007350018e+00,2.1826417536e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2881723684e+00,1.0475000000e+00,1.0961921007e+00,2.3334662817e-01,-1.2445933936e-01,-4.6085143316e-03,5.2983293556e+00,5.2997929512e+00,2.1731752618e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2604697368e+00,1.0475000000e+00,1.1108794237e+00,2.3647312151e-01,-1.0294659754e-01,-1.8731288524e-03,5.2983293556e+00,5.2993297190e+00,2.1646696636e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2327671053e+00,1.0475000000e+00,1.1242595010e+00,2.3932134121e-01,-9.4099878527e-02,-4.5119661654e-04,5.2983293556e+00,5.2991649296e+00,2.1559888104e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2050644737e+00,1.0475000000e+00,1.1365348511e+00,2.4193439740e-01,-8.6233853390e-02,4.7412434123e-04,5.2983293556e+00,5.2990310872e+00,2.1472668592e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.1773618421e+00,1.0475000000e+00,1.1477703323e+00,2.4432609649e-01,-7.8660246414e-02,1.1613578756e-03,5.2983293556e+00,5.2989133550e+00,2.1386666922e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.1496592105e+00,1.0475000000e+00,1.1579808113e+00,2.4649960315e-01,-7.1133098258e-02,1.7094266084e-03,5.2983293556e+00,5.2988071111e+00,2.1303537736e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.1219565789e+00,1.0475000000e+00,1.1671640879e+00,2.4845444905e-01,-6.3577673438e-02,2.1641813303e-03,5.2983293556e+00,5.2987112362e+00,2.1224831955e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.0942539474e+00,1.0475000000e+00,1.1753146528e+00,2.5018946142e-01,-5.5991268881e-02,2.5511828489e-03,5.2983293556e+00,5.2986258116e+00,2.1151927355e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.0665513158e+00,1.0475000000e+00,1.1824295692e+00,2.5170401506e-01,-4.8401043624e-02,2.8871391933e-03,5.2983293556e+00,5.2985512130e+00,2.1085993432e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.0388486842e+00,1.0475000000e+00,1.1885107322e+00,2.5299851343e-01,-4.0844353988e-02,3.1842932128e-03,5.2983293556e+00,5.2984877429e+00,2.1027978557e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.0111460526e+00,1.0475000000e+00,1.1935653897e+00,2.5407449937e-01,-3.3359444612e-02,3.4522207414e-03,5.2983293556e+00,5.2984354984e+00,2.0978611777e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.8344342105e-01,1.0475000000e+00,1.1976058641e+00,2.5493459595e-01,-2.5981448000e-02,3.6986159071e-03,5.2983293556e+00,5.2983943488e+00,2.0938413540e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.5574078947e-01,1.0475000000e+00,1.2006489818e+00,2.5558238501e-01,-1.8741232307e-02,3.9296773645e-03,5.2983293556e+00,5.2983639585e+00,2.0907710939e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.2803815789e-01,1.0475000000e+00,1.2027154810e+00,2.5602228110e-01,-1.1665733804e-02,4.1503462662e-03,5.2983293556e+00,5.2983438238e+00,2.0886654375e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.0033552632e-01,1.0475000000e+00,1.2038295320e+00,2.5625942936e-01,-4.7789604618e-03,4.3644959938e-03,5.2983293556e+00,5.2983333085e+00,2.0875233651e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-8.7263289474e-01,1.0475000000e+00,1.2040184186e+00,2.5629963769e-01,1.8968246421e-03,4.5751076661e-03,5.2983293556e+00,5.2983316704e+00,2.0873292489e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-8.4493026316e-01,1.0475000000e+00,1.2033123810e+00,2.5614934332e-01,8.3400216511e-03,4.7844371173e-03,5.2983293556e+00,5.2983380797e+00,2.0880541244e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-8.1722763158e-01,1.0475000000e+00,1.2017445919e+00,2.5581560775e-01,1.4528854056e-02,4.9941686359e-03,5.2983293556e+00,5.2983516295e+00,2.0896568029e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-7.8952500000e-01,1.0475000000e+00,1.1993512286e+00,2.5530613203e-01,2.0440817184e-02,5.2055489147e-03,5.2983293556e+00,5.2983713427e+00,2.0920848829e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-7.6182236842e-01,1.0475000000e+00,1.1961715995e+00,2.5462928377e-01,2.6052404360e-02,5.4194965243e-03,5.2983293556e+00,5.2983961780e+00,2.0952757245e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-7.3411973684e-01,1.0475000000e+00,1.1922482909e+00,2.5379412829e-01,3.1339069709e-02,5.6366851853e-03,5.2983293556e+00,5.2984250367e+00,2.0991574528e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-7.0641710526e-01,1.0475000000e+00,1.1876273034e+00,2.5281045777e-01,3.6275375317e-02,5.8576018491e-03,5.2983293556e+00,5.2984567730e+00,2.1036500479e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-6.7871447368e-01,1.0475000000e+00,1.1823581585e+00,2.5168881386e-01,4.0835271371e-02,6.0825825513e-03,5.2983293556e+00,5.2984902074e+00,2.1086665665e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-6.5101184211e-01,1.0475000000e+00,1.1764939591e+00,2.5044050059e-01,4.4992465577e-02,6.3118300582e-03,5.2983293556e+00,5.2985241456e+00,2.1141145229e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-6.2330921053e-01,1.0475000000e+00,1.1700913952e+00,2.4907758554e-01,4.8720848511e-02,6.5454176228e-03,5.2983293556e+00,5.2985574003e+00,2.1198974442e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-5.9560657895e-01,1.0475000000e+00,1.1632106881e+00,2.4761288806e-01,5.1994951978e-02,6.7832829184e-03,5.2983293556e+00,5.2985888167e+00,2.1259165961e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-5.6790394737e-01,1.0475000000e+00,1.1559154713e+00,2.4605995383e-01,5.4790426331e-02,7.0252156764e-03,5.2983293556e+00,5.2986173012e+00,2.1320728602e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-5.4020131579e-01,1.0475000000e+00,1.1482726050e+00,2.4443301537e-01,5.7084529369e-02,7.2708419023e-03,5.2983293556e+00,5.2986418514e+00,2.1382687286e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-5.1249868421e-01,1.0475000000e+00,1.1403519230e+00,2.4274693825e-01,5.8856623772e-02,7.5196069546e-03,5.2983293556e+00,5.2986615864e+00,2.1444103669e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.8479605263e-01,1.0475000000e+00,1.1322259122e+00,2.4101715272e-01,6.0088682154e-02,7.7707593285e-03,5.2983293556e+00,5.2986757775e+00,2.1504096799e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.5709342105e-01,1.0475000000e+00,1.1239693214e+00,2.3925957061e-01,6.0765798890e-02,8.0233367468e-03,5.2983293556e+00,5.2986838759e+00,2.1561863069e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.2939078947e-01,1.0475000000e+00,1.1156587012e+00,2.3749048725e-01,6.0876706313e-02,8.2761561274e-03,5.2983293556e+00,5.2986855378e+00,2.1616694605e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.0168815789e-01,1.0475000000e+00,1.1073718725e+00,2.3572646840e-01,6.0414289675e-02,8.5278090735e-03,5.2983293556e+00,5.2986806443e+00,2.1667995178e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-3.7398552632e-01,1.0475000000e+00,1.0991873257e+00,2.3398422232e-01,5.9376091125e-02,8.7766645989e-03,5.2983293556e+00,5.2986693151e+00,2.1715292751e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-3.4628289474e-01,1.0475000000e+00,1.0911835520e+00,2.3228045742e-01,5.7764788133e-02,9.0208807188e-03,5.2983293556e+00,5.2986519142e+00,2.1758247796e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-3.1858026316e-01,1.0475000000e+00,1.0834383115e+00,2.3063172655e-01,5.5588627065e-02,9.2584264455e-03,5.2983293556e+00,5.2986290467e+00,2.1796656660e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.9087763158e-01,1.0475000000e+00,1.0760278471e+00,2.2905425954e-01,5.2861787366e-02,9.4871160947e-03,5.2983293556e+00,5.2986015452e+00,2.1830449467e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.6317500000e-01,1.0475000000e+00,1.0690260532e+00,2.2756378631e-01,4.9604645312e-02,9.7046586161e-03,5.2983293556e+00,5.2985704451e+00,2.1859682280e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.3547236842e-01,1.0475000000e+00,1.0625036173e+00,2.2617535409e-01,4.5843900341e-02,9.9087234600e-03,5.2983293556e+00,5.2985369496e+00,2.1884523604e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-2.0776973684e-01,1.0475000000e+00,1.0565271544e+00,2.2490314326e-01,4.1612530958e-02,1.0097017507e-02,5.2983293556e+00,5.2985023840e+00,2.1905235649e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.8006710526e-01,1.0475000000e+00,1.0511583607e+00,2.2376028708e-01,3.6949569848e-02,1.0267359238e-02,5.2983293556e+00,5.2984681418e+00,2.1922151141e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.5236447368e-01,1.0475000000e+00,1.0464532093e+00,2.2275870059e-01,3.1899715937e-02,1.0417740280e-02,5.2983293556e+00,5.2984356259e+00,2.1935646851e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-1.2466184211e-01,1.0475000000e+00,1.0424612097e+00,2.2190892285e-01,2.6512815201e-02,1.0546372294e-02,5.2983293556e+00,5.2984061864e+00,2.1946115282e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-9.6959210526e-02,1.0475000000e+00,1.0392247451e+00,2.2121997598e-01,2.0843241409e-02,1.0651721660e-02,5.2983293556e+00,5.2983810603e+00,2.1953936126e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-6.9256578947e-02,1.0475000000e+00,1.0367785003e+00,2.2069924337e-01,1.4949201142e-02,1.0732535145e-02,5.2983293556e+00,5.2983613152e+00,2.1959449216e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,-4.1553947368e-02,1.0475000000e+00,1.0351489891e+00,2.2035236900e-01,8.8919808247e-03,1.0787858884e-02,5.2983293556e+00,5.2983477996e+00,2.1962930571e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
