index,rho_pol,fpol_t_m,pressure_pa,ffprime_t2m2_per_wb,pprime_pa_per_wb,q
0,0.0000000000e+00,5.7720000000e+00,7.8781696830e+04,1.1875812062e+00,4.9490151366e+05,1.0500000000e+00
1,1.4084507042e-02,5.7688732394e+00,7.8754675022e+04,1.1858969214e+00,4.8356644326e+05,1.1734333104e+00
2,2.8169014085e-02,5.7657464789e+00,7.8678180390e+04,1.1826743989e+00,4.7259094066e+05,1.2940791819e+00
3,4.2253521127e-02,5.7626197183e+00,7.8552267602e+04,1.1780935292e+00,4.6122257981e+05,1.4117370997e+00
4,5.6338028169e-02,5.7594929577e+00,7.8377025191e+04,1.1729115220e+00,4.5071711175e+05,1.5263308754e+00
5,7.0422535211e-02,5.7563661972e+00,7.8152575627e+04,1.1668228199e+00,4.4005740550e+05,1.6378230315e+00
6,8.4507042254e-02,5.7532394366e+00,7.7879075402e+04,1.1597544884e+00,4.2931160711e+05,1.7461966350e+00
7,9.8591549296e-02,5.7501126761e+00,7.7556715155e+04,1.1526166705e+00,4.1940911544e+05,1.8514479273e+00
8,1.1267605634e-01,5.7469859155e+00,7.7185719814e+04,1.1441448466e+00,4.0884238475e+05,1.9535825365e+00
9,1.2676056338e-01,5.7438591549e+00,7.6765796359e+04,1.1344990366e+00,3.9767535595e+05,2.0525777946e+00
10,1.4084507042e-01,5.7407323944e+00,7.6293955770e+04,1.1254402079e+00,3.8807429199e+05,2.1482417248e+00
11,1.5492957746e-01,5.7376056338e+00,7.5774424065e+04,1.1143086076e+00,3.7690133362e+05,2.2408480338e+00
12,1.6901408451e-01,5.7344788732e+00,7.5207573581e+04,1.1049013296e+00,3.6810707926e+05,2.3304246759e+00
13,1.8309859155e-01,5.7313521127e+00,7.4593812180e+04,1.0926172049e+00,3.5726325762e+05,2.4170028972e+00
14,1.9718309859e-01,5.7282253521e+00,7.3933583571e+04,1.0810016409e+00,3.4750318098e+05,2.5006168280e+00
15,2.1126760563e-01,5.7250985915e+00,7.3227367676e+04,1.0707811921e+00,3.3934851925e+05,2.5813031496e+00
16,2.2535211268e-01,5.7219718310e+00,7.2475681027e+04,1.0551176836e+00,3.2752289633e+05,2.6591008182e+00
17,2.3943661972e-01,5.7188450704e+00,7.1679077191e+04,1.0423245230e+00,3.1825067984e+05,2.7340508297e+00
18,2.5352112676e-01,5.7157183099e+00,7.0837143641e+04,1.0304289558e+00,3.1003173913e+05,2.8061326272e+00
19,2.6760563380e-01,5.7125915493e+00,6.9948572774e+04,1.0164283303e+00,3.0075185093e+05,2.8752687756e+00
20,2.8169014085e-01,5.7094647887e+00,6.9017092244e+04,1.0006267927e+00,2.9067734909e+05,2.9416985971e+00
21,2.9577464789e-01,5.7063380282e+00,6.8043418172e+04,9.8646097725e-01,2.8198698795e+05,3.0054697469e+00
22,3.0985915493e-01,5.7032112676e+00,6.7028306690e+04,9.6990301140e-01,2.7226322891e+05,3.0666310885e+00
