sqrt_psi_norm,pressure_pa,dp_dpsi,q,fpol_t_m,ffprime_t2m2_per_wb
0.0000000000e+00,7.8751211194e+04,4.9490151366e+05,1.0500000000e+00,5.7720000000e+00,1.1875812062e+00
1.5873015873e-02,7.8751211194e+04,4.8197451064e+05,1.1888226633e+00,5.7684761905e+00,1.1855111816e+00
3.1746031746e-02,7.8514840485e+04,4.6944259582e+05,1.3241741207e+00,5.7649523810e+00,1.1815311507e+00
4.7619047619e-02,7.8420003159e+04,4.5774395562e+05,1.4558250413e+00,5.7614285714e+00,1.1764959978e+00
6.3492063492e-02,7.8211157455e+04,4.4564680785e+05,1.5836486134e+00,5.7579047619e+00,1.1700994912e+00
7.9365079365e-02,7.7873359938e+04,4.3389983263e+05,1.7070378699e+00,5.7543809524e+00,1.1628569291e+00
9.5238095238e-02,7.7562584339e+04,4.2045623929e+05,1.8265846200e+00,5.7508571429e+00,1.1534063456e+00
1.1111111111e-01,7.7172497388e+04,4.0986251113e+05,1.9422939153e+00,5.7473333333e+00,1.1450035330e+00
1.2698412698e-01,7.6595139903e+04,3.9767535595e+05,2.0541012984e+00,5.7438095238e+00,1.1344990366e+00
1.4285714286e-01,7.6212979746e+04,3.8649956411e+05,2.1615559919e+00,5.7402857143e+00,1.1239056270e+00
1.5873015873e-01,7.5558680220e+04,3.7466925389e+05,2.2652528985e+00,5.7367619048e+00,1.1119870634e+00
1.7460317460e-01,7.4868543856e+04,3.6495586966e+05,2.3652296064e+00,5.7332380952e+00,1.1013919999e+00
1.9047619048e-01,7.4219348398e+04,3.5075469057e+05,2.4614136380e+00,5.7297142857e+00,1.0849583001e+00
2.0634920635e-01,7.3349824379e+04,3.4220997660e+05,2.5534776862e+00,5.7261904762e+00,1.0743958878e+00
2.2222222222e-01,7.2614482792e+04,3.3050648342e+05,2.6419740673e+00,5.7226666667e+00,1.0591072762e+00
2.3809523810e-01,7.1679150804e+04,3.1893211564e+05,2.7269562281e+00,5.7191428571e+00,1.0432597836e+00
2.5396825397e-01,7.0535547478e+04,3.0962089668e+05,2.8083373336e+00,5.7156190476e+00,1.0298076019e+00
2.6984126984e-01,6.9849942748e+04,2.9835176572e+05,2.8859009402e+00,5.7120952381e+00,1.0126835191e+00
2.8571428571e-01,6.8704141199e+04,2.8804788277e+05,2.9601432802e+00,5.7085714286e+00,9.9641154993e-01
3.0158730159e-01,6.7457459109e+04,2.7856172465e+05,3.0311273996e+00,5.7050476190e+00,9.8068801144e-01
