kind,point_index,minor_r_m,major_r_m,z_m
limiter,0,5.5000000000e-01,2.4000000000e+00,0.0000000000e+00
limiter,1,5.4959000706e-01,2.3995900071e+00,2.9692567661e-02
limiter,2,5.4836090710e-01,2.3983609071e+00,5.9353339776e-02
limiter,3,5.4631533322e-01,2.3963153332e+00,8.8950554849e-02
limiter,4,5.4345766248e-01,2.3934576625e+00,1.1845251944e-01
limiter,5,5.3979399876e-01,2.3897939988e+00,1.4782764211e-01
limiter,6,5.3533214897e-01,2.3853321490e+00,1.7704446723e-01
limiter,7,5.3008159269e-01,2.3800815927e+00,2.0607170870e-01
limiter,8,5.2405344544e-01,2.3740534454e+00,2.3487828343e-01
limiter,9,5.1726041583e-01,2.3672604158e+00,2.6343334461e-01
limiter,10,5.0971675685e-01,2.3597167568e+00,2.9170631476e-01
limiter,11,5.0143821154e-01,2.3514382115e+00,3.1966691849e-01
limiter,12,4.9244195347e-01,2.3424419535e+00,3.4728521487e-01
limiter,13,4.8274652227e-01,2.3327465223e+00,3.7453162955e-01
limiter,14,4.7237175472e-01,2.3223717547e+00,4.0137698637e-01
limiter,15,4.6133871165e-01,2.3113387116e+00,4.2779253867e-01
limiter,16,4.4966960124e-01,2.2996696012e+00,4.5375000000e-01
limiter,17,4.3738769905e-01,2.2873876991e+00,4.7922157447e-01
limiter,18,4.2451726528e-01,2.2745172653e+00,5.0417998647e-01
limiter,19,4.1108345966e-01,2.2610834597e+00,5.2859850991e-01
limiter,20,3.9711225457e-01,2.2471122546e+00,5.5245099683e-01
limiter,21,3.8263034668e-01,2.2326303467e+00,5.7571190538e-01
limiter,22,3.6766506776e-01,2.2176650678e+00,5.9835632720e-01
limiter,23,3.5224429496e-01,2.2022442950e+00,6.2036001409e-01
limiter,24,3.3639636115e-01,2.1863963611e+00,6.4169940393e-01
limiter,25,3.2014996565e-01,2.1701499656e+00,6.6235164597e-01
limiter,26,3.0353408586e-01,2.1535340859e+00,6.8229462529e-01
limiter,27,2.8657789019e-01,2.1365778902e+00,7.0150698643e-01
limiter,28,2.6931065258e-01,2.1193106526e+00,7.1996815631e-01
limiter,29,2.5176166921e-01,2.1017616692e+00,7.3765836627e-01
limiter,30,2.3396017746e-01,2.0839601775e+00,7.5455867316e-01
limiter,31,2.1593527767e-01,2.0659352777e+00,7.7065097974e-01
limiter,32,1.9771585790e-01,2.0477158579e+00,7.8591805393e-01
limiter,33,1.7933052197e-01,2.0293305220e+00,8.0034354740e-01
limiter,34,1.6080752099e-01,2.0108075210e+00,8.1391201294e-01
limiter,35,1.4217468869e-01,1.9921746887e+00,8.2660892112e-01
limiter,36,1.2345938060e-01,1.9734593806e+00,8.3842067575e-01
limiter,37,1.0468841732e-01,1.9546884173e+00,8.4933462853e-01
limiter,38,8.5888032014e-02,1.9358880320e+00,8.5933909252e-01
limiter,39,6.7083822111e-02,1.9170838221e+00,8.6842335468e-01
limiter,40,4.8300705441e-02,1.8983007054e+00,8.7657768736e-01
limiter,41,2.9562880689e-02,1.8795628807e+00,8.8379335869e-01
limiter,42,1.0893792285e-02,1.8608937923e+00,8.9006264197e-01
limiter,43,-7.6839003396e-03,1.8423160997e+00,8.9537882387e-01
limiter,44,-2.6148349146e-02,1.8238516509e+00,8.9973621170e-01
limiter,45,-4.4478539594e-02,1.8055214604e+00,9.0313013946e-01
limiter,46,-6.2654308554e-02,1.7873456914e+00,9.0555697284e-01
limiter,47,-8.0656358109e-02,1.7693436419e+00,9.0701411313e-01
limiter,48,-9.8466265384e-02,1.7515337346e+00,9.0750000000e-01
limiter,49,-1.1606648852e-01,1.7339335115e+00,9.0701411313e-01
limiter,50,-1.3344036897e-01,1.7165596310e+00,9.0555697284e-01
limiter,51,-1.5057213023e-01,1.6994278698e+00,9.0313013946e-01
limiter,52,-1.6744687324e-01,1.6825531268e+00,8.9973621170e-01
limiter,53,-1.8405056861e-01,1.6659494314e+00,8.9537882387e-01
limiter,54,-2.0037004580e-01,1.6496299542e+00,8.9006264197e-01
limiter,55,-2.1639297963e-01,1.6336070204e+00,8.8379335869e-01
limiter,56,-2.3210787404e-01,1.6178921260e+00,8.7657768736e-01
limiter,57,-2.4750404359e-01,1.6024959564e+00,8.6842335468e-01
limiter,58,-2.6257159275e-01,1.5874284073e+00,8.5933909252e-01
limiter,59,-2.7730139313e-01,1.5726986069e+00,8.4933462853e-01
limiter,60,-2.9168505907e-01,1.5583149409e+00,8.3842067575e-01
limiter,61,-3.0571492153e-01,1.5442850785e+00,8.2660892112e-01
limiter,62,-3.1938400070e-01,1.5306159993e+00,8.1391201294e-01
limiter,63,-3.3268597733e-01,1.5173140227e+00,8.0034354740e-01
limiter,64,-3.4561516321e-01,1.5043848368e+00,7.8591805393e-01
limiter,65,-3.5816647066e-01,1.4918335293e+00,7.7065097974e-01
limiter,66,-3.7033538155e-01,1.4796646185e+00,7.5455867316e-01
limiter,67,-3.8211791576e-01,1.4678820842e+00,7.3765836627e-01
limiter,68,-3.9351059936e-01,1.4564894006e+00,7.1996815631e-01
limiter,69,-4.0451043267e-01,1.4454895673e+00,7.0150698643e-01
limiter,70,-4.1511485828e-01,1.4348851417e+00,6.8229462529e-01
limiter,71,-4.2532172926e-01,1.4246782707e+00,6.6235164597e-01
limiter,72,-4.3512927758e-01,1.4148707224e+00,6.4169940393e-01
limiter,73,-4.4453608297e-01,1.4054639170e+00,6.2036001409e-01
limiter,74,-4.5354104228e-01,1.3964589577e+00,5.9835632720e-01
limiter,75,-4.6214333946e-01,1.3878566605e+00,5.7571190538e-01
limiter,76,-4.7034241619e-01,1.3796575838e+00,5.5245099683e-01
limiter,77,-4.7813794344e-01,1.3718620566e+00,5.2859850991e-01
